date_eom,date,days,id_meter,water_m3,cons,av_day
2011-06-30,2011-06-01,0,6,1,0,
2011-07-31,2011-07-12,41,6,10,9,0.2195121951
2011-08-31,,,6,,,
2011-09-30,,,6,,,
2011-10-31,,,6,,,
2011-11-30,,,6,,,
2011-12-31,,,6,,,
2012-01-31,,,6,,,
2012-02-29,2012-02-02,205,6,,,
2012-03-31,2012-03-26,53,6,,,
2012-04-30,,,6,,,
2012-05-31,,,6,,,
2012-06-30,,,6,,,
2012-07-31,2012-07-12,108,6,108,98,0.2677595628
2012-08-31,,,6,,,
2012-09-30,,,6,,,
2012-10-31,,,6,,,
2012-11-30,,,6,,,
2012-12-31,,,6,,,
2013-01-31,,,6,,,
2013-02-28,2013-02-04,207,6,,,
2013-03-31,,,6,,,
2013-04-30,,,6,,,
2013-05-31,,,6,,,
2013-06-30,2013-06-07,123,6,216,108,0.3272727273
2013-07-31,,,6,,,
2013-08-31,,,6,,,
2013-09-30,,,6,,,
2013-10-31,,,6,,,
2013-11-30,,,6,,,
2013-12-31,,,6,,,
2014-01-31,,,6,,,
2014-02-28,2014-02-04,242,6,,,
2014-03-31,,,6,,,
2014-04-30,,,6,,,
2014-05-31,,,6,,,
2014-06-30,2014-06-28,144,6,314,98,0.2538860104
2014-07-31,,,6,,,
2014-08-31,,,6,,,
2014-09-30,2014-09-04,0,2,114.418,,
2014-09-30,2014-09-12,8,2,,,
2014-10-31,2014-10-02,96,6,335,21,0.21875
2014-11-30,2014-11-28,77,2,142.034,27.616,0.3248941176
2014-12-31,2014-12-16,18,2,148.274,6.24,0.3466666667
2015-01-31,2015-01-07,22,2,,,
2015-02-28,,,2,,,
2015-03-31,,,2,,,
2015-04-30,,,2,,,
2015-05-31,,,2,,,
2015-06-30,,,2,,,
2015-07-31,2015-07-01,175,2,209.163,60.889,0.3090812183
2015-07-31,2015-07-23,22,2,209.163,0,0
2015-08-31,,,2,,,
2015-09-30,2015-09-08,47,2,214.213,5.05,0.1074468085
2015-10-31,2015-10-01,23,2,225.101,10.888,0.4733913043
2015-11-30,2015-11-19,49,2,,,
2015-12-31,2015-12-01,12,2,239.394,14.293,0.2343114754
2015-12-31,2015-12-16,15,2,243.825,4.431,0.2954
2016-01-31,2016-01-01,16,2,246.732,2.907,0.1816875
2016-01-31,2016-01-07,6,2,247.722,0.99,0.165
2016-01-31,2016-01-17,10,2,249.372,1.65,0.165
2016-01-31,2016-01-21,4,2,250.032,0.66,0.165
2016-02-29,2016-02-01,11,2,253.601,3.569,0.3244545455
2016-02-29,2016-02-16,15,2,259.296,5.695,0.3796666667
2016-03-31,2016-03-01,14,2,264.431,5.135,0.3667857143
2016-04-30,2016-04-01,31,2,276.719,12.288,0.3963870968
2016-04-30,2016-04-16,15,2,284.162,7.443,0.4962
2016-05-31,2016-05-01,15,2,296.484,12.322,0.8214666667
2016-06-30,2016-06-01,31,2,313.18,16.696,0.5385806452
