date_eom,date,days,gaz m3,cons gaz,av day
2011-06-30,2011-06-01,0.0,1,0.0,
2011-07-31,2011-07-12,41.0,,,
2011-08-31,,,,,
2011-09-30,,,,,
2011-10-31,,,,,
2011-11-30,,,,,
2011-12-31,,,,,
2012-01-31,,,,,
2012-02-29,2012-02-02,205.0,256.622,255.622,1.04
2012-03-31,2012-03-26,53.0,,,
2012-04-30,,,,,
2012-05-31,,,,,
2012-06-30,,,,,
2012-07-31,2012-07-12,108.0,,,
2012-08-31,,,,,
2012-09-30,,,,,
2012-10-31,,,,,
2012-11-30,,,,,
2012-12-31,,,,,
2013-01-31,,,,,
2013-02-28,2013-02-04,207.0,706.558,449.936,2.17
2013-03-31,,,,,
2013-04-30,,,,,
2013-05-31,,,,,
2013-06-30,2013-06-07,123.0,,,
2013-07-31,,,,,
2013-08-31,,,,,
2013-09-30,,,,,
2013-10-31,,,,,
2013-11-30,,,,,
2013-12-31,,,,,
2014-01-31,,,,,
2014-02-28,2014-02-04,242.0,1179.468,472.91,1.95
2014-03-31,,,,,
2014-04-30,,,,,
2014-05-31,,,,,
2014-06-30,2014-06-28,144.0,,,
2014-07-31,,,,,
2014-08-31,,,,,
2014-09-30,2014-09-04,,38911.506,,
2014-09-30,2014-09-12,8.0,38921.393,9.887,1.24
2014-10-31,2014-10-02,96.0,,,
2014-11-30,2014-11-28,77.0,,,
2014-12-31,2014-12-16,18.0,39297.241,375.848,3.96
2015-01-31,2015-01-07,22.0,39469.722,172.481,7.84
2015-02-28,,,,,
2015-03-31,,,,,
2015-04-30,,,,,
2015-05-31,,,,,
2015-06-30,,,,,
2015-07-31,2015-07-01,175.0,39946.121,476.399,2.72
2015-07-31,2015-07-23,22.0,39946.121,0.0,0.0
2015-08-31,,,,,
2015-09-30,2015-09-08,47.0,,,
2015-10-31,2015-10-01,23.0,40004.874,58.753,0.84
2015-11-30,2015-11-19,49.0,,,
2015-12-31,2015-12-01,12.0,40150.725,145.851,2.39
2015-12-31,2015-12-16,15.0,40208.968,58.243,3.88
2016-01-31,2016-01-01,16.0,40247.263,38.295,2.39
2016-01-31,2016-01-07,6.0,40275.291,28.028,4.67
2016-01-31,2016-01-17,10.0,40323.532,48.241,4.82
2016-01-31,2016-01-21,4.0,40355.344,31.812,7.95
2016-02-29,2016-02-01,11.0,40408.942,53.598,4.87
2016-02-29,2016-02-16,15.0,40493.759,84.817,5.65
2016-03-31,2016-03-01,14.0,40568.736,74.977,5.36
2016-04-30,2016-04-01,31.0,40704.691,135.955,4.39
