date_eom,date,days,power kw/h,cons power,av day.2
2011-06-30,2011-06-01,0.0,,0.0,
2011-07-31,2011-07-12,41.0,,,
2011-08-31,,,,,
2011-09-30,,,,,
2011-10-31,,,,,
2011-11-30,,,,,
2011-12-31,,,,,
2012-01-31,,,,,
2012-02-29,2012-02-02,205.0,,,
2012-03-31,2012-03-26,53.0,,1216.5,4.07
2012-04-30,,,,,
2012-05-31,,,,,
2012-06-30,,,,,
2012-07-31,2012-07-12,108.0,,,
2012-08-31,,,,,
2012-09-30,,,,,
2012-10-31,,,,,
2012-11-30,,,,,
2012-12-31,,,,,
2013-01-31,,,,,
2013-02-28,2013-02-04,207.0,,,
2013-03-31,,,,,
2013-04-30,,,,,
2013-05-31,,,,,
2013-06-30,2013-06-07,123.0,,,
2013-07-31,,,,,
2013-08-31,,,,,
2013-09-30,,,,,
2013-10-31,,,,,
2013-11-30,,,,,
2013-12-31,,,,,
2014-01-31,,,,,
2014-02-28,2014-02-04,242.0,,1349.0,
2014-03-31,,,,,
2014-04-30,,,,,
2014-05-31,,,,,
2014-06-30,2014-06-28,144.0,,,
2014-07-31,,,,,
2014-08-31,,,,,
2014-09-30,2014-09-04,,51419.3,,
2014-09-30,2014-09-12,8.0,,,
2014-10-31,2014-10-02,96.0,2232.2,,
2014-11-30,2014-11-28,77.0,,,
2014-12-31,2014-12-16,18.0,51712.0,292.7,2.84
2015-01-31,2015-01-07,22.0,,,
2015-02-28,,,,,
2015-03-31,,,,,
2015-04-30,,,,,
2015-05-31,,,,,
2015-06-30,,,,,
2015-07-31,2015-07-01,175.0,52181.7,469.7,2.38
2015-07-31,2015-07-23,22.0,52182.1,0.4,0.02
2015-08-31,,,,,
2015-09-30,2015-09-08,47.0,,,
2015-10-31,2015-10-01,23.0,52354.4,172.3,2.46
2015-11-30,2015-11-19,49.0,52487.0,132.6,2.71
2015-12-31,2015-12-01,12.0,52524.1,37.1,3.09
2015-12-31,2015-12-16,15.0,52567.6,43.5,2.9
2016-01-31,2016-01-01,16.0,52612.2,44.6,2.79
2016-01-31,2016-01-07,6.0,52632.5,20.3,3.38
2016-01-31,2016-01-17,10.0,52659.6,27.1,2.71
2016-01-31,2016-01-21,4.0,52671.5,11.9,2.98
2016-02-29,2016-02-01,11.0,52707.4,35.9,3.26
2016-02-29,2016-02-16,15.0,52754.7,47.3,3.15
2016-03-31,2016-03-01,14.0,52794.0,39.3,2.81
2016-04-30,2016-04-01,31.0,52884.8,90.8,2.93
2016-04-30,2016-04-16,15.0,52933.7,48.9,3.26
2016-05-31,2016-05-01,15.0,52981.1,47.4,3.16
2016-06-30,2016-06-01,31.0,53073.1,92.0,2.97
2016-07-31,2016-07-01,30.0,53148.6,75.5,2.52
2016-07-31,2016-07-04,3.0,53156.0,7.4,2.47
2016-08-31,2016-08-01,28.0,53223.5,67.5,2.41
2016-08-31,2016-08-12,11.0,53250.4,26.9,2.45
2016-09-30,2016-09-01,20.0,53296.8,46.4,2.32
2016-09-30,2016-09-13,12.0,53349.0,52.2,4.35
2016-10-31,,,,,
2016-11-30,2016-11-26,74.0,53435.7,86.7,1.17
2016-12-31,2016-12-31,35.0,53494.7,197.9,1.64
2017-01-31,2017-01-01,1.0,,,
2017-02-28,2017-02-01,31.0,,,
2017-03-31,2017-03-01,28.0,,,
2017-04-30,2017-04-01,31.0,,,
2017-05-31,2017-05-01,30.0,,,
2017-06-30,2017-06-01,31.0,,,
2017-07-31,2017-07-19,48.0,,,
2017-08-31,2017-08-01,13.0,53533.0,97.3,0.46
2017-08-31,2017-08-18,17.0,53563.9,30.9,1.82
2017-09-30,2017-09-01,14.0,53596.3,32.4,2.31
2017-09-30,2017-09-12,11.0,53626.7,30.4,2.76
2017-10-31,2017-10-01,19.0,53669.9,43.2,2.27
2017-11-30,2017-11-01,31.0,53738.7,68.8,2.22
2017-11-30,2017-11-23,22.0,53790.7,52.0,2.36
2017-12-31,2017-12-01,8.0,53813.4,22.7,2.84
2018-01-31,2018-01-01,31.0,53888.3,74.9,2.42
2018-02-28,2018-02-01,31.0,53960.9,72.6,2.34
2018-03-31,2018-03-01,28.0,54032.2,71.3,2.55
2018-04-30,2018-04-01,31.0,54108.3,76.1,2.45
2018-05-31,2018-05-01,30.0,54174.1,65.8,2.19
2018-06-30,2018-06-01,31.0,54235.0,60.9,1.96
2018-06-30,2018-06-22,21.0,54280.1,45.1,2.15
2018-07-31,2018-07-01,9.0,54305.3,25.2,2.8
2018-08-31,2018-08-03,33.0,54386.6,81.3,2.46
2018-08-31,2018-08-30,27.0,54441.7,55.1,2.04
2018-09-30,,,,,
2018-10-31,2018-10-09,40.0,54536.2,94.5,2.36
2018-11-30,2018-11-01,23.0,54590.6,54.4,2.37
2018-11-30,2018-11-28,27.0,54666.0,75.4,2.79
2018-12-31,,,,,
2019-01-31,2019-01-01,34.0,54770.8,104.8,3.08
2019-02-28,2019-02-01,31.0,54880.4,109.6,3.54
2019-03-31,2019-03-03,30.0,54975.2,94.8,3.16
2019-04-30,2019-04-01,29.0,55076.0,100.8,3.48
2019-05-31,2019-05-01,30.0,55156.2,80.2,2.67
2019-06-30,2019-06-01,31.0,55241.6,85.4,2.75
2019-07-31,2019-07-07,36.0,55328.9,172.7,2.58
2019-08-31,2019-08-03,27.0,55372.4,43.5,1.61
2019-08-31,2019-08-30,27.0,55451.8,79.4,2.94
2019-09-30,,,,,
2019-10-31,2019-10-01,32.0,55552.4,100.6,3.14
2019-11-30,2019-11-01,31.0,55648.2,95.8,3.09
2019-12-31,2019-12-01,30.0,55739.9,91.7,3.06
2020-01-31,2020-01-01,31.0,55838.5,98.6,3.18
2020-02-29,2020-02-01,31.0,55944.3,105.8,3.41
2020-02-29,2020-02-18,17.0,56002.3,58.0,3.41
2020-03-31,2020-03-01,12.0,56041.5,39.2,3.27
2020-04-30,2020-04-01,31.0,56138.3,96.8,3.12
2020-05-31,2020-05-01,30.0,56216.3,78.0,2.6
2020-06-30,2020-06-01,31.0,56300.0,83.7,2.7
2020-07-31,2020-07-01,30.0,56385.6,85.6,2.85
2020-08-31,2020-08-01,31.0,56472.6,87.0,2.81
2020-09-30,2020-09-01,31.0,56569.2,96.6,3.12
2020-10-31,2020-10-01,30.0,56668.5,99.3,3.31
2020-11-30,2020-11-01,31.0,56789.5,121.0,3.9
2020-12-31,2020-12-02,31.0,56904.5,115.0,3.71
2021-01-31,2021-01-01,30.0,57010.9,106.4,3.55
2021-02-28,2021-02-02,32.0,57135.6,124.7,3.9
2021-03-31,2021-03-01,27.0,57227.8,92.2,3.41
2021-03-31,2021-03-04,3.0,57234.2,6.4,2.13
2021-04-30,2021-04-01,28.0,104.9,93.2,3.33
2021-05-31,2021-05-01,30.0,215.2,110.3,3.68
2021-05-31,2021-05-07,6.0,241.6,26.4,4.4
2021-06-30,2021-06-02,26.0,332.3,90.7,3.49
2021-07-31,2021-07-02,30.0,421.8,89.5,2.98
2021-07-31,2021-07-17,15.0,429.3,7.5,0.5
2021-07-31,2021-07-27,10.0,456.1,26.8,2.68
2021-08-31,2021-08-01,5.0,468.4,12.3,2.46
2021-08-31,2021-08-31,30.0,558.1,89.7,2.99
2021-09-30,,,,,
2021-10-31,2021-10-01,31.0,646.9,88.8,2.86
2021-11-30,2021-11-30,29.0,862.7,102.4,3.53
2021-12-31,,,,,
2022-01-31,2022-01-01,32.0,996.6,133.9,4.18
2022-02-28,,,,,
2022-03-31,2022-03-04,62.0,1222.8,226.2,3.65
2022-04-30,2022-04-01,28.0,1320.2,97.4,3.48
2022-05-31,2022-05-01,30.0,1404.7,84.5,2.82
2022-06-30,2022-06-03,33.0,1492.7,88.0,2.67
2022-06-30,2022-06-27,24.0,1551.6,58.9,2.45
2022-07-31,2022-07-22,25.0,1552.0,0.4,0.02
2022-08-31,2022-08-01,10.0,1576.3,24.3,2.43
2022-08-31,2022-08-27,26.0,1649.0,72.7,2.8
2022-09-30,,,,,
2022-10-31,2022-10-01,35.0,,,
2022-11-30,2022-11-02,32.0,1825.8,176.8,2.64
2022-11-30,2022-11-06,4.0,1838.7,12.9,3.23
2022-12-31,2022-12-02,26.0,1913.3,74.6,2.87
2023-01-31,2023-01-01,30.0,2034.3,121.0,4.03
2023-02-28,2023-02-02,32.0,2148.8,114.5,3.58
2023-03-31,2023-03-03,29.0,2260.7,111.9,3.86
2023-04-30,2023-04-02,30.0,2377.2,116.5,3.88
2023-04-30,2023-04-06,4.0,2391.0,13.8,3.45
2023-05-31,2023-05-03,27.0,2467.3,76.3,2.83
2023-06-30,2023-06-01,29.0,2554.0,86.7,2.99
2023-06-30,2023-06-17,16.0,2596.7,42.7,2.67
2023-06-30,2023-06-22,5.0,2609.9,13.2,2.64
2023-07-31,2023-07-05,13.0,2648.4,38.5,2.96
2023-08-31,2023-08-03,29.0,2690.1,41.7,1.44
2023-08-31,2023-08-10,7.0,2704.2,14.1,2.01
2023-09-30,2023-09-01,22.0,2769.4,65.2,2.96
2023-10-31,,,,,
2023-11-30,2023-11-01,31.0,760.3,113.4,3.66
2023-12-31,,,,,
2024-01-31,,,,,
2024-02-29,,,,,
2024-03-31,,,,,
2024-04-30,,,,,
2024-05-31,,,,,
2024-06-30,,,,,
2024-07-31,,,,,
2024-08-31,,,,,
2024-09-30,,,,,
2024-10-31,,,,,
2024-11-30,,,,,
2024-12-31,,,,,
