date,time,days,g_id_meter,gas_m3,g_cons,g_av_day,w_id_meter,water_m3,w_cons,w_av_day,p_id_meter,power_kwh,p_cons,p_av_day,Heater On(1)/Off(0),Presence in House,People in property,Water-Pump
01/06/2011,,0,8,"1,00","0,00","0,00",6,"1,00","0,00","0,000",7,0,"0,00","0,00",0,0,0,NA
12/07/2011,,41,8,,,,6,"10,00","9,00","0,220",7,,,,,1,2,NA
02/02/2012,,205,8,"256,62","255,62","1,04",6,,,,7,,,,3,1,3,NA
26/03/2012,,53,8,,,,6,,,,7,"1216,5","1 216,50","4,07",,1,3,NA
12/07/2012,,108,8,,,,6,"108,00","98,00","0,268",7,,,,,1,3,NA
04/02/2013,,207,8,"706,56","449,94","2,17",6,,,,7,,,,3,1,3,NA
07/06/2013,,123,8,,,,6,"216,00","108,00","0,327",7,,,,,1,3,NA
04/02/2014,,242,8,"1 179,47","472,91","1,95",6,,,,7,"2565,5","1 349,00",,2,1,4,NA
28/06/2014,,144,8,"1 357,43","177,97","1,24",6,"314,00","98,00","0,254",7,,,,0,1,4,NA
02/10/2014,,96,8,"1 476,08","118,64","1,24",6,"335,00","21,00","0,219",7,"3448,7","883,20","1,10",0,1,4,NA
04/09/2014,,0,1,"38 911,51","0,00","0,00",2,"114,42","0,00","0,000",4,"51419,3","0,00","0,00",0,0,0,NA
12/09/2014,,8,1,"38 921,39","9,89","1,24",2,,,,4,,,,0,1,4,
28/11/2014,,77,1,,,,2,"142,03","27,62","0,325",4,,,,,1,4,
16/12/2014,,18,1,"39 297,24","375,85","3,96",2,"148,27","6,24","0,347",4,51712,"292,70","2,84",1,1,4,
07/01/2015,,22,1,"39 469,72","172,48","7,84",2,,,,4,,,,3,1,4,
01/07/2015,,175,1,"39 946,12","476,40","2,72",2,"209,16","60,89","0,309",4,"52181,7","469,70","2,38",3,1,4,
23/07/2015,,22,1,"39 946,12","0,00","0,00",2,"209,16","0,00","0,000",4,"52182,1","0,40","0,02",0,1,4,
08/09/2015,,47,1,,,,2,"214,21","5,05","0,107",4,,,,0,1,4,
01/10/2015,,23,1,"40 004,87","58,75","0,84",2,"225,10","10,89","0,473",4,"52354,4","172,30","2,46",0,1,4,
19/11/2015,,49,1,,,,2,,,,4,52487,"132,60","2,71",,1,4,
01/12/2015,,12,1,"40 150,73","145,85","2,39",2,"239,39","14,29","0,234",4,"52524,1","37,10","3,09",1,1,4,
16/12/2015,,15,1,"40 208,97","58,24","3,88",2,"243,83","4,43","0,295",4,"52567,6","43,50","2,90",3,1,4,
01/01/2016,,16,1,"40 247,26","38,30","2,39",2,"246,73","2,91","0,182",4,"52612,2","44,60","2,79",3,1,4,
07/01/2016,,6,1,"40 275,29","28,03","4,67",2,"247,72","0,99","0,165",4,"52632,5","20,30","3,38",3,1,4,
17/01/2016,,10,1,"40 323,53","48,24","4,82",2,"249,37","1,65","0,165",4,"52659,6","27,10","2,71",3,1,4,
21/01/2016,,4,1,"40 355,34","31,81","7,95",2,"250,03","0,66","0,165",4,"52671,5","11,90","2,98",3,1,4,
01/02/2016,,11,1,"40 408,94","53,60","4,87",2,"253,60","3,57","0,324",4,"52707,4","35,90","3,26",3,1,4,
16/02/2016,,15,1,"40 493,76","84,82","5,65",2,"259,30","5,70","0,380",4,"52754,7","47,30","3,15",3,1,4,
01/03/2016,,14,1,"40 568,74","74,98","5,36",2,"264,43","5,14","0,367",4,52794,"39,30","2,81",3,1,4,
01/04/2016,,31,1,"40 704,69","135,96","4,39",2,"276,72","12,29","0,396",4,"52884,8","90,80","2,93",3,1,4,
16/04/2016,,15,1,"40 746,27","41,58","2,77",2,"284,16","7,44","0,496",4,"52933,7","48,90","3,26",3,1,4,
01/05/2016,,15,1,"40 804,59","58,32","3,89",2,"296,48","12,32","0,821",4,"52981,1","47,40","3,16",3,1,4,
01/06/2016,,31,1,"40 857,52","52,93","1,71",2,"313,18","16,70","0,539",4,"53073,1","92,00","2,97",2,1,4,
01/07/2016,,30,1,"40 890,28","32,76","1,09",2,"324,22","11,04","0,368",4,"53148,6","75,50","2,52",0,1,4,
04/07/2016,,3,1,"40 893,70","3,43","1,14",2,"325,30","1,08","0,358",4,53156,"7,40","2,47",0,1,4,
01/08/2016,,28,1,"40 920,43","26,72","0,95",2,"334,76","9,47","0,338",4,"53223,5","67,50","2,41",0,1,4,
12/08/2016,,11,1,"40 932,24","11,82","1,07",2,"338,21","3,44","0,313",4,"53250,4","26,90","2,45",0,1,4,
01/09/2016,,20,1,"40 949,56","17,32","0,87",2,"343,25","5,05","0,252",4,"53296,8","46,40","2,32",0,1,4,
13/09/2016,,12,1,"40 970,54","20,98","1,75",2,"351,07","7,82","0,651",4,53349,"52,20","4,35",0,1,4,
26/11/2016,,74,1,,,,2,,,,4,"53435,7","86,70","1,17",0,1,4,
31/12/2016,,35,1,"41 219,40","248,87","2,28",2,"361,87","10,80","0,099",4,"53494,7","197,90","1,64",3,1,2,
19/07/2017,,48,1,"41 254,39","34,99","0,17",2,"361,87","0,00","0,000",4,,,,0,1,4,
01/08/2017,,13,1,"41 261,85","7,46","0,57",2,"363,93","2,05","0,158",4,53533,"97,30","0,46",0,1,4,
18/08/2017,,17,1,"41 280,34","18,49","1,09",2,"368,74","4,82","0,283",4,"53563,9","30,90","1,82",0,1,4,
01/09/2017,,14,1,"41 295,82","15,48","1,11",2,"372,98","4,24","0,303",4,"53596,3","32,40","2,31",0,1,4,
12/09/2017,,11,1,"41 308,61","12,79","1,16",2,"376,14","3,16","0,288",4,"53626,7","30,40","2,76",0,1,4,
01/10/2017,,19,1,"41 334,31","25,70","1,35",2,"381,49","5,35","0,282",4,"53669,9","43,20","2,27",0,1,4,
