date_eom,date,days,water m3,cons,av day.1
2011-06-30,2011-06-01,0.0,,0.0,
2011-07-31,2011-07-12,41.0,"10,000",9.0,0.22
2011-08-31,,,,,
2011-09-30,,,,,
2011-10-31,,,,,
2011-11-30,,,,,
2011-12-31,,,,,
2012-01-31,,,,,
2012-02-29,2012-02-02,205.0,,,
2012-03-31,2012-03-26,53.0,,,
2012-04-30,,,,,
2012-05-31,,,,,
2012-06-30,,,,,
2012-07-31,2012-07-12,108.0,"108,000",98.0,0.27
2012-08-31,,,,,
2012-09-30,,,,,
2012-10-31,,,,,
2012-11-30,,,,,
2012-12-31,,,,,
2013-01-31,,,,,
2013-02-28,2013-02-04,207.0,,,
2013-03-31,,,,,
2013-04-30,,,,,
2013-05-31,,,,,
2013-06-30,2013-06-07,123.0,"216,000",108.0,0.33
2013-07-31,,,,,
2013-08-31,,,,,
2013-09-30,,,,,
2013-10-31,,,,,
2013-11-30,,,,,
2013-12-31,,,,,
2014-01-31,,,,,
2014-02-28,2014-02-04,242.0,,,
2014-03-31,,,,,
2014-04-30,,,,,
2014-05-31,,,,,
2014-06-30,2014-06-28,144.0,"314,000",98.0,0.25
2014-07-31,,,,,
2014-08-31,,,,,
2014-09-30,2014-09-04,,"114,418",,
2014-09-30,2014-09-12,8.0,,,
2014-10-31,2014-10-02,96.0,"335,000",21.0,0.22
2014-11-30,2014-11-28,77.0,"142,034",27.616,0.32
2014-12-31,2014-12-16,18.0,"148,274",6.24,0.35
2015-01-31,2015-01-07,22.0,,,
2015-02-28,,,,,
2015-03-31,,,,,
2015-04-30,,,,,
2015-05-31,,,,,
2015-06-30,,,,,
2015-07-31,2015-07-01,175.0,"209,163",60.889,0.31
2015-07-31,2015-07-23,22.0,"209,163",0.0,0.0
2015-08-31,,,,,
2015-09-30,2015-09-08,47.0,"214,213",5.05,0.11
2015-10-31,2015-10-01,23.0,"225,101",10.888,0.47
2015-11-30,2015-11-19,49.0,"€56,07",,
2015-12-31,2015-12-01,12.0,"239,394",14.293,0.23
2015-12-31,2015-12-16,15.0,"243,825",4.431,0.3
2016-01-31,2016-01-01,16.0,"246,732",2.907,0.18
2016-01-31,2016-01-07,6.0,"247,722",0.99,0.17
2016-01-31,2016-01-17,10.0,"249,372",1.65,0.17
2016-01-31,2016-01-21,4.0,"250,032",0.66,0.16
2016-02-29,2016-02-01,11.0,"253,601",3.569,0.32
2016-02-29,2016-02-16,15.0,"259,296",5.695,0.38
2016-03-31,2016-03-01,14.0,"264,431",5.135,0.37
2016-04-30,2016-04-01,31.0,"276,719",12.288,0.4
2016-04-30,2016-04-16,15.0,"284,162",7.443,0.5
2016-05-31,2016-05-01,15.0,"296,484",12.322,0.82
2016-06-30,2016-06-01,31.0,"313,180",16.696,0.54
2016-07-31,2016-07-01,30.0,"324,222",11.042,0.37
2016-07-31,2016-07-04,3.0,"325,297",1.075,0.36
2016-08-31,2016-08-01,28.0,"334,763",9.466,0.34
2016-08-31,2016-08-12,11.0,"338,205",3.442,0.31
2016-09-30,2016-09-01,20.0,"343,251",5.046,0.25
2016-09-30,2016-09-13,12.0,"351,068",7.817,0.65
2016-10-31,,,,,
2016-11-30,2016-11-26,74.0,,,
2016-12-31,2016-12-31,35.0,"361,872",10.804,0.1
2017-01-31,2017-01-01,1.0,,,
2017-02-28,2017-02-01,31.0,,,
2017-03-31,2017-03-01,28.0,,,
2017-04-30,2017-04-01,31.0,,,
2017-05-31,2017-05-01,30.0,,,
2017-06-30,2017-06-01,31.0,,,
2017-07-31,2017-07-19,48.0,"361,872",0.0,0.0
2017-08-31,2017-08-01,13.0,"363,926",2.054,0.16
2017-08-31,2017-08-18,17.0,"368,741",4.815,0.28
2017-09-30,2017-09-01,14.0,"372,978",4.237,0.3
2017-09-30,2017-09-12,11.0,"376,141",3.163,0.29
2017-10-31,2017-10-01,19.0,"381,493",5.352,0.28
2017-11-30,2017-11-01,31.0,"389,912",8.419,0.27
2017-11-30,2017-11-23,22.0,"396,052",6.14,0.28
2017-12-31,2017-12-01,8.0,"398,515",2.463,0.31
2018-01-31,2018-01-01,31.0,"406,002",7.487,0.24
2018-02-28,2018-02-01,31.0,"414,004",8.002,0.26
2018-03-31,2018-03-01,28.0,"422,841",8.837,0.32
2018-04-30,2018-04-01,31.0,"433,464",10.623,0.34
2018-05-31,2018-05-01,30.0,"442,429",8.965,0.3
2018-06-30,2018-06-01,31.0,"451,111",8.682,0.28
2018-06-30,2018-06-22,21.0,"457,122",6.011,0.29
2018-07-31,2018-07-01,9.0,"460,031",2.909,0.32
2018-08-31,2018-08-03,33.0,"469,823",9.792,0.3
2018-08-31,2018-08-30,27.0,"476,014",6.191,0.23
2018-09-30,,,,,
2018-10-31,2018-10-09,40.0,"487,098",11.084,0.28
2018-11-30,2018-11-01,23.0,"493,704",6.606,0.29
2018-11-30,2018-11-28,27.0,"500,919",7.215,0.27
2018-12-31,,,,,
2019-01-31,2019-01-01,34.0,"510,107",9.188,0.27
2019-02-28,2019-02-01,31.0,"518,845",8.738,0.28
2019-03-31,2019-03-03,30.0,"527,119",8.274,0.28
2019-04-30,2019-04-01,29.0,"535,655",8.536,0.29
2019-05-31,2019-05-01,30.0,"543,479",7.824,0.26
2019-06-30,2019-06-01,31.0,"553,660",10.181,0.33
2019-07-31,2019-07-07,36.0,"563,561",20.082,0.3
2019-08-31,2019-08-03,27.0,"569,824",6.263,0.23
2019-08-31,2019-08-30,27.0,"579,165",9.341,0.35
2019-09-30,,,,,
2019-10-31,2019-10-01,32.0,"593,094",13.929,0.44
2019-11-30,2019-11-01,31.0,"603,009",9.915,0.32
2019-12-31,2019-12-01,30.0,"611,493",8.484,0.28
2020-01-31,2020-01-01,31.0,"620,602",9.109,0.29
2020-02-29,2020-02-01,31.0,"629,492",8.89,0.29
2020-02-29,2020-02-18,17.0,"634,000",4.508,0.27
2020-03-31,2020-03-01,12.0,"3,831",3.831,0.32
2020-04-30,2020-04-01,31.0,"15,088",11.257,0.36
2020-05-31,2020-05-01,30.0,"26,988",11.9,0.4
2020-06-30,2020-06-01,31.0,"39,771",12.783,0.41
2020-07-31,2020-07-01,30.0,"48,390",8.619,0.29
2020-08-31,2020-08-01,31.0,"54,501",6.111,0.2
2020-09-30,2020-09-01,31.0,"60,720",6.219,0.2
2020-10-31,2020-10-01,30.0,"69,435",8.715,0.29
2020-11-30,2020-11-01,31.0,"78,821",9.386,0.3
2020-12-31,2020-12-02,31.0,"87,637",8.816,0.28
2021-01-31,2021-01-01,30.0,"96,629",8.992,0.3
2021-02-28,2021-02-02,32.0,"104,951",8.322,0.26
2021-03-31,2021-03-01,27.0,"112,687",7.736,0.29
2021-03-31,2021-03-04,3.0,,,
2021-04-30,2021-04-01,28.0,"123,56",10.873,0.35
2021-05-31,2021-05-01,30.0,"135,921",12.361,0.41
2021-05-31,2021-05-07,6.0,"138,645",2.724,0.45
2021-06-30,2021-06-02,26.0,"147,591",8.946,0.34
2021-07-31,2021-07-02,30.0,"155,826",8.235,0.27
2021-07-31,2021-07-17,15.0,"155,826",0.0,0.0
2021-07-31,2021-07-27,10.0,"156,881",1.055,0.11
2021-08-31,2021-08-01,5.0,"158,231",1.35,0.27
2021-08-31,2021-08-31,30.0,"166,651",8.42,0.28
2021-09-30,,,,,
2021-10-31,2021-10-01,31.0,"176,241",9.59,0.31
2021-11-30,2021-11-30,29.0,"194,592",8.608,0.3
2021-12-31,,,,,
2022-01-31,2022-01-01,32.0,"203,671",9.079,0.28
2022-02-28,,,,,
2022-03-31,2022-03-04,62.0,"221,948",18.277,0.29
2022-04-30,2022-04-01,28.0,"231,001",9.053,0.32
2022-05-31,2022-05-01,30.0,"240,186",9.185,0.31
2022-06-30,2022-06-03,33.0,"250,271",10.085,0.31
2022-06-30,2022-06-27,24.0,"255,547",5.276,0.22
2022-07-31,2022-07-22,25.0,"255,547",0.0,0.0
2022-08-31,2022-08-01,10.0,"257,421",1.874,0.19
2022-08-31,2022-08-27,26.0,"263,19",5.769,0.22
2022-09-30,,,,,
2022-10-31,2022-10-01,35.0,,,
2022-11-30,2022-11-02,32.0,"280,774",17.584,0.26
2022-11-30,2022-11-06,4.0,"281,893",1.119,0.28
2022-12-31,2022-12-02,26.0,"288,301",6.408,0.25
2023-01-31,2023-01-01,30.0,"296,231",7.93,0.26
2023-02-28,2023-02-02,32.0,"302,895",6.664,0.21
2023-03-31,2023-03-03,29.0,"309,465",6.57,0.23
2023-04-30,2023-04-02,30.0,"318,386",8.921,0.3
2023-04-30,2023-04-06,4.0,"319,641",1.255,0.31
2023-05-31,2023-05-03,27.0,"325,797",6.156,0.23
2023-06-30,2023-06-01,29.0,"333,602",7.805,0.27
2023-06-30,2023-06-17,16.0,"338,021",4.419,0.28
2023-06-30,2023-06-22,5.0,"339,831",1.81,0.36
2023-07-31,2023-07-05,13.0,"343,056",3.225,0.25
2023-08-31,2023-08-03,29.0,"345,171",2.115,0.07
